,disease_name,microbe_scientific_name,relationship_name,disease_mesh_id,disease_mesh_heading
2132,Ulcerative Colitis,Enterobacter,Increased,MESH:D003093,Ulcerative Colitis
2133,Crohn Disease,Enterobacterales,Increased,MESH:D003424,Crohn Disease
2134,Crohn Disease,Enterobacteriaceae,Increased,MESH:D003424,Crohn Disease
2135,Ulcerative Colitis,Enterobacteriaceae,Increased,MESH:D003093,Ulcerative Colitis
2136,Crohn Disease,Erwinia,Increased,MESH:D003424,Crohn Disease
2137,Ulcerative Colitis,Erwinia,Increased,MESH:D003093,Ulcerative Colitis
2138,Endometrial Neoplasms,Ruminococcus,Increased,MESH:D016889,Endometrial neoplasms
2139,Crohn Disease,Erysipelotrichaceae,Decreased,MESH:D003424,Crohn Disease
2140,Ulcerative Colitis,Erysipelotrichaceae,Decreased,MESH:D003093,Ulcerative Colitis
2141,Crohn Disease,Erysipelotrichales,Decreased,MESH:D003424,Crohn Disease
2142,Crohn Disease,Erysipelotrichia,Decreased,MESH:D003424,Crohn Disease
2143,Ulcerative Colitis,Escherichia,Increased,MESH:D003093,Ulcerative Colitis
2144,Crohn Disease,Ferrimonadaceae,Increased,MESH:D003424,Crohn Disease
2145,Ulcerative Colitis,Ferrimonadaceae,Increased,MESH:D003093,Ulcerative Colitis
2146,Crohn Disease,Ferrimonas,Increased,MESH:D003424,Crohn Disease
2147,Ulcerative Colitis,Ferrimonas,Increased,MESH:D003093,Ulcerative Colitis
2148,Ulcerative Colitis,Firmicutes,Decreased,MESH:D003093,Ulcerative Colitis
2149,Crohn Disease,Fusobacteria,Increased,MESH:D003424,Crohn Disease
2150,Crohn Disease,Fusobacteriaceae,Increased,MESH:D003424,Crohn Disease
2151,Crohn Disease,Fusobacteriales,Increased,MESH:D003424,Crohn Disease
2152,Crohn Disease,Fusobacteriia,Increased,MESH:D003424,Crohn Disease
2153,Crohn Disease,Fusobacterium,Increased,MESH:D003424,Crohn Disease
2154,Crohn Disease,Gammaproteobacteria,Increased,MESH:D003424,Crohn Disease
2155,Ulcerative Colitis,Gammaproteobacteria,Increased,MESH:D003093,Ulcerative Colitis
2156,Crohn Disease,Gemella,Increased,MESH:D003424,Crohn Disease
2157,Crohn Disease,Haemophilus,Increased,MESH:D003424,Crohn Disease
2158,Ulcerative Colitis,Klebsiella,Increased,MESH:D003093,Ulcerative Colitis
2159,Crohn Disease,Lachnospira,Decreased,MESH:D003424,Crohn Disease
2160,Endometrial Neoplasms,Treponema,Present,MESH:D016889,Endometrial neoplasms
2161,Crohn Disease,Lachnospiraceae,Decreased,MESH:D003424,Crohn Disease
2162,Ulcerative Colitis,Lachnospiraceae,Decreased,MESH:D003093,Ulcerative Colitis
2163,Ulcerative Colitis,Leptotrichia,Increased,MESH:D003093,Ulcerative Colitis
2164,Crohn Disease,Neisseria,Increased,MESH:D003424,Crohn Disease
2165,Ulcerative Colitis,Neisseria,Increased,MESH:D003093,Ulcerative Colitis
2166,Crohn Disease,Neisseriaceae,Increased,MESH:D003424,Crohn Disease
2167,Ulcerative Colitis,Neisseriaceae,Increased,MESH:D003093,Ulcerative Colitis
2168,Crohn Disease,Neisseriales,Increased,MESH:D003424,Crohn Disease
2169,Ulcerative Colitis,Oceanospirillaceae,Increased,MESH:D003093,Ulcerative Colitis
2170,Ulcerative Colitis,Oceanospirillales,Increased,MESH:D003093,Ulcerative Colitis
2171,Crohn Disease,Pasteurellaceae,Increased,MESH:D003424,Crohn Disease
2172,Ulcerative Colitis,Pasteurellaceae,Increased,MESH:D003093,Ulcerative Colitis
2173,Crohn Disease,Pasteurellales,Increased,MESH:D003424,Crohn Disease
2174,Ulcerative Colitis,Pasteurellales,Increased,MESH:D003093,Ulcerative Colitis
2175,Crohn Disease,Peptostreptococcaceae,Increased,MESH:D003424,Crohn Disease
2176,Ulcerative Colitis,Peptostreptococcaceae,Increased,MESH:D003093,Ulcerative Colitis
2177,Crohn Disease,Peptostreptococcus,Increased,MESH:D003424,Crohn Disease
2178,Ulcerative Colitis,Peptostreptococcus,Increased,MESH:D003093,Ulcerative Colitis
2179,Crohn Disease,Photobacterium,Increased,MESH:D003424,Crohn Disease
2180,Ulcerative Colitis,Photobacterium,Increased,MESH:D003093,Ulcerative Colitis
2181,Crohn Disease,Proteobacteria,Increased,MESH:D003424,Crohn Disease
2182,Lung Neoplasms,Atopobium,Increased,MESH:D008175,Lung neoplasms
2183,Lung Neoplasms,Atopobium,Increased,MESH:D008175,Lung neoplasms
2184,Ulcerative Colitis,Proteobacteria,Increased,MESH:D003093,Ulcerative Colitis
2185,Crohn Disease,Tenericutes,Decreased,MESH:D003424,Crohn Disease
2186,Crohn Disease,Veillonella,Increased,MESH:D003424,Crohn Disease
2187,Ulcerative Colitis,Veillonella,Increased,MESH:D003093,Ulcerative Colitis
2188,Crohn Disease,Veillonellaceae,Increased,MESH:D003424,Crohn Disease
2189,Ulcerative Colitis,Veillonellaceae,Increased,MESH:D003093,Ulcerative Colitis
2190,Crohn Disease,Vibrio,Increased,MESH:D003424,Crohn Disease
2191,Ulcerative Colitis,Vibrio,Increased,MESH:D003093,Ulcerative Colitis
2192,Crohn Disease,Vibrionaceae,Increased,MESH:D003424,Crohn Disease
2193,Ulcerative Colitis,Vibrionaceae,Increased,MESH:D003093,Ulcerative Colitis
2194,Crohn Disease,Vibrionales,Increased,MESH:D003424,Crohn Disease
2195,Ulcerative Colitis,Vibrionales,Increased,MESH:D003093,Ulcerative Colitis
2196,Ulcerative Colitis,Xanthomonadaceae,Increased,MESH:D003093,Ulcerative Colitis
2197,Ulcerative Colitis,Xanthomonadales,Increased,MESH:D003093,Ulcerative Colitis
2198,Endometrial Neoplasms,Anaerostipes,Present,MESH:D016889,Endometrial neoplasms
2199,Endometrial Neoplasms,Anaerotruncus,Present,MESH:D016889,Endometrial neoplasms
2200,Endometrial Neoplasms,Arthrospira,Present,MESH:D016889,Endometrial neoplasms
2201,Endometrial Neoplasms,Atopobium,Present,MESH:D016889,Endometrial neoplasms
2202,Endometrial Neoplasms,Fannyhessea vaginae,Present,MESH:D016889,Endometrial neoplasms
2203,Endometrial Neoplasms,Bacteroides,Increased,MESH:D016889,Endometrial neoplasms
2204,Endometrial Neoplasms,Dialister,Present,MESH:D016889,Endometrial neoplasms
2205,Endometrial Neoplasms,Peptoniphilus,Present,MESH:D016889,Endometrial neoplasms
2206,Endometrial Neoplasms,Porphyromonas,Present,MESH:D016889,Endometrial neoplasms
2207,Endometrial Neoplasms,Porphyromonas sp.,Present,MESH:D016889,Endometrial neoplasms
2208,Lung Neoplasms,Candidatus Saccharibacteria,Increased,MESH:D008175,Lung neoplasms
2209,Lung Neoplasms,Candidatus Saccharibacteria,Increased,MESH:D008175,Lung neoplasms
2210,Lung Neoplasms,Firmicutes,Increased,MESH:D008175,Lung neoplasms
2211,Lung Neoplasms,Firmicutes,Increased,MESH:D008175,Lung neoplasms
2212,Lung Neoplasms,Megasphaera,Increased,MESH:D008175,Lung neoplasms
2213,Lung Neoplasms,Megasphaera,Increased,MESH:D008175,Lung neoplasms
2214,Lung Neoplasms,Selenomonas,Increased,MESH:D008175,Lung neoplasms
2215,Lung Neoplasms,Selenomonas,Increased,MESH:D008175,Lung neoplasms
2216,Lung Neoplasms,Veillonella,Increased,MESH:D008175,Lung neoplasms
2217,Lung Neoplasms,Veillonella,Increased,MESH:D008175,Lung neoplasms
2218,Rectal Neoplasms,Acinetobacter,Decreased,MESH:D012004,Colorectal neoplasms
2219,Rectal Neoplasms,Acinetobacter,Decreased,MESH:D012004,Colorectal neoplasms
2220,Rectal Neoplasms,Actinobacteria,Decreased,MESH:D012004,Colorectal neoplasms
2221,Rectal Neoplasms,Actinobacteria,Decreased,MESH:D012004,Colorectal neoplasms
2222,Rectal Neoplasms,Alcaligenes faecalis,Decreased,MESH:D012004,Colorectal neoplasms
2223,Rectal Neoplasms,Alcaligenes faecalis,Decreased,MESH:D012004,Colorectal neoplasms
2224,Rectal Neoplasms,Bacillus,Decreased,MESH:D012004,Colorectal neoplasms
2225,Rectal Neoplasms,Bacillus,Decreased,MESH:D012004,Colorectal neoplasms
2226,Rectal Neoplasms,Bacillus cereus,Decreased,MESH:D012004,Colorectal neoplasms
2227,Rectal Neoplasms,Bacillus cereus,Decreased,MESH:D012004,Colorectal neoplasms
2228,Rectal Neoplasms,Bacteroides,Increased,MESH:D012004,Colorectal neoplasms
2229,Rectal Neoplasms,Bacteroides,Increased,MESH:D012004,Colorectal neoplasms
2230,Rectal Neoplasms,Bacteroides fragilis,Increased,MESH:D012004,Colorectal neoplasms
2231,Rectal Neoplasms,Bacteroides fragilis,Increased,MESH:D012004,Colorectal neoplasms
2232,Rectal Neoplasms,Bacteroides fragilis,Increased,MESH:D012004,Colorectal neoplasms
2233,Rectal Neoplasms,Bacteroides uniformis,Increased,MESH:D012004,Colorectal neoplasms
2234,Rectal Neoplasms,Bacteroides uniformis,Increased,MESH:D012004,Colorectal neoplasms
2235,Rectal Neoplasms,Bacteroidetes,Increased,MESH:D012004,Colorectal neoplasms
2236,Rectal Neoplasms,Bacteroidetes,Increased,MESH:D012004,Colorectal neoplasms
2237,Rectal Neoplasms,Bilophila sp.,Increased,MESH:D012004,Colorectal neoplasms
2238,Rectal Neoplasms,Bilophila sp.,Increased,MESH:D012004,Colorectal neoplasms
2239,Rectal Neoplasms,Candidatus Parcubacteria,Increased,MESH:D012004,Colorectal neoplasms
2240,Rectal Neoplasms,Candidatus Parcubacteria,Increased,MESH:D012004,Colorectal neoplasms
2241,Rectal Neoplasms,Cyanobacteria,Decreased,MESH:D012004,Colorectal neoplasms
2242,Rectal Neoplasms,Cyanobacteria,Decreased,MESH:D012004,Colorectal neoplasms
2243,Rectal Neoplasms,Desulfovibrio,Increased,MESH:D012004,Colorectal neoplasms
2244,Rectal Neoplasms,Desulfovibrio,Increased,MESH:D012004,Colorectal neoplasms
2245,Rectal Neoplasms,Dorea,Increased,MESH:D012004,Colorectal neoplasms
2246,Rectal Neoplasms,Dorea,Increased,MESH:D012004,Colorectal neoplasms
2247,Rectal Neoplasms,Escherichia,Decreased,MESH:D012004,Colorectal neoplasms
2248,Rectal Neoplasms,Escherichia,Decreased,MESH:D012004,Colorectal neoplasms
2249,Rectal Neoplasms,Fusobacterium sp.,Increased,MESH:D012004,Colorectal neoplasms
2250,Rectal Neoplasms,Fusobacterium sp.,Increased,MESH:D012004,Colorectal neoplasms
2251,Rectal Neoplasms,Lactobacillus,Decreased,MESH:D012004,Colorectal neoplasms
2252,Rectal Neoplasms,Lactobacillus,Decreased,MESH:D012004,Colorectal neoplasms
2253,Rectal Neoplasms,Lactobacillus delbrueckii,Decreased,MESH:D012004,Colorectal neoplasms
2254,Rectal Neoplasms,Lactobacillus delbrueckii,Decreased,MESH:D012004,Colorectal neoplasms
2255,Rectal Neoplasms,Odoribacter,Increased,MESH:D012004,Colorectal neoplasms
2256,Rectal Neoplasms,Odoribacter,Increased,MESH:D012004,Colorectal neoplasms
2257,Rectal Neoplasms,Parabacteroides,Increased,MESH:D012004,Colorectal neoplasms
2258,Rectal Neoplasms,Parabacteroides,Increased,MESH:D012004,Colorectal neoplasms
2259,Rectal Neoplasms,Phascolarctobacterium,Increased,MESH:D012004,Colorectal neoplasms
2260,Rectal Neoplasms,Phascolarctobacterium,Increased,MESH:D012004,Colorectal neoplasms
2261,Rectal Neoplasms,Planctomycetes,Decreased,MESH:D012004,Colorectal neoplasms
2262,Rectal Neoplasms,Planctomycetes,Decreased,MESH:D012004,Colorectal neoplasms
2263,Rectal Neoplasms,Prevotella melaninogenica,Decreased,MESH:D012004,Colorectal neoplasms
2264,Rectal Neoplasms,Prevotella melaninogenica,Decreased,MESH:D012004,Colorectal neoplasms
2265,Rectal Neoplasms,Proteobacteria,Decreased,MESH:D012004,Colorectal neoplasms
2266,Rectal Neoplasms,Proteobacteria,Decreased,MESH:D012004,Colorectal neoplasms
2267,Rectal Neoplasms,Pseudomonas,Decreased,MESH:D012004,Colorectal neoplasms
2268,Rectal Neoplasms,Pseudomonas,Decreased,MESH:D012004,Colorectal neoplasms
2269,Ulcerative Colitis,[Eubacterium] rectale,Decreased,MESH:D003093,Ulcerative Colitis
2270,Ulcerative Colitis,Anaerococcus,Increased,MESH:D003093,Ulcerative Colitis
2271,Ulcerative Colitis,Bacteroidaceae,Increased,MESH:D003093,Ulcerative Colitis
2272,Ulcerative Colitis,Bacteroides,Increased,MESH:D003093,Ulcerative Colitis
2273,Ulcerative Colitis,Bilophila,Decreased,MESH:D003093,Ulcerative Colitis
2274,Ulcerative Colitis,Bilophila wadsworthia,Decreased,MESH:D003093,Ulcerative Colitis
2275,Ulcerative Colitis,Clostridia,Decreased,MESH:D003093,Ulcerative Colitis
2276,Crohn Disease,Clostridiaceae,Increased,MESH:D003424,Crohn Disease
2277,Ulcerative Colitis,Clostridiaceae,Increased,MESH:D003093,Ulcerative Colitis
2278,Ulcerative Colitis,Clostridiales,Decreased,MESH:D003093,Ulcerative Colitis
2279,Ulcerative Colitis,Clostridium,Increased,MESH:D003093,Ulcerative Colitis
2280,Ulcerative Colitis,Enterobacterales,Increased,MESH:D003093,Ulcerative Colitis
2281,Ulcerative Colitis,Enterobacteriaceae,Increased,MESH:D003093,Ulcerative Colitis
2282,Ulcerative Colitis,Erysipelatoclostridium ramosum,Increased,MESH:D003093,Ulcerative Colitis
2283,Ulcerative Colitis,Escherichia,Increased,MESH:D003093,Ulcerative Colitis
2284,Ulcerative Colitis,Escherichia coli,Increased,MESH:D003093,Ulcerative Colitis
2285,Ulcerative Colitis,Eubacteriaceae,Decreased,MESH:D003093,Ulcerative Colitis
2286,Ulcerative Colitis,Eubacterium,Decreased,MESH:D003093,Ulcerative Colitis
2287,Ulcerative Colitis,Faecalibacterium prausnitzii,Decreased,MESH:D003093,Ulcerative Colitis
2288,Ulcerative Colitis,Firmicutes,Decreased,MESH:D003093,Ulcerative Colitis
2289,Ulcerative Colitis,Gammaproteobacteria,Increased,MESH:D003093,Ulcerative Colitis
2290,Ulcerative Colitis,Parabacteroides,Increased,MESH:D003093,Ulcerative Colitis
2291,Crohn Disease,Porphyromonadaceae,Increased,MESH:D003424,Crohn Disease
2292,Ulcerative Colitis,Verrucomicrobia,Increased,MESH:D003093,Ulcerative Colitis
2293,Ulcerative Colitis,Verrucomicrobiaceae,Increased,MESH:D003093,Ulcerative Colitis
2294,Ulcerative Colitis,Verrucomicrobiae,Increased,MESH:D003093,Ulcerative Colitis
2295,Ulcerative Colitis,Verrucomicrobiales,Increased,MESH:D003093,Ulcerative Colitis
2296,Celiac Disease,[Eubacterium] brachy,Decreased,MESH:D002446,Celiac Disease
2297,Celiac Disease,[Eubacterium] sulci,Decreased,MESH:D002446,Celiac Disease
2298,Celiac Disease,Actinomyces sp. oral taxon 877,Decreased,MESH:D002446,Celiac Disease
2299,Celiac Disease,Actinomyces sp. oral taxon 877,Increased,MESH:D002446,Celiac Disease
2300,Celiac Disease,Alloscardovia omnicolens,Decreased,MESH:D002446,Celiac Disease
2301,Celiac Disease,Alloscardovia omnicolens,Decreased,MESH:D002446,Celiac Disease
2302,Celiac Disease,Bacteroides-like sp. oral clone AU126,Increased,MESH:D002446,Celiac Disease
2303,Celiac Disease,Campylobacter concisus,Increased,MESH:D002446,Celiac Disease
2304,Celiac Disease,Campylobacter sp. oral taxon 044,Decreased,MESH:D002446,Celiac Disease
2305,Celiac Disease,Eubacterium,Decreased,MESH:D002446,Celiac Disease
2306,Celiac Disease,Fusobacterium periodonticum,Decreased,MESH:D002446,Celiac Disease
2307,Celiac Disease,Haemophilus parainfluenzae,Decreased,MESH:D002446,Celiac Disease
2308,Celiac Disease,Kingella sp. oral taxon 459,Decreased,MESH:D002446,Celiac Disease
2309,Celiac Disease,Lachnospiraceae bacterium oral taxon 455,Decreased,MESH:D002446,Celiac Disease
2310,Celiac Disease,Lactobacillus,Increased,MESH:D002446,Celiac Disease
2311,Celiac Disease,Leptotrichia,Increased,MESH:D002446,Celiac Disease
2312,Celiac Disease,Leptotrichia sp. oral taxon 212,Increased,MESH:D002446,Celiac Disease
2313,Celiac Disease,Leptotrichia sp. oral taxon 218,Decreased,MESH:D002446,Celiac Disease
2314,Celiac Disease,Leptotrichia sp. oral taxon 221,Decreased,MESH:D002446,Celiac Disease
2315,Celiac Disease,Oribacterium sp. oral taxon 108,Decreased,MESH:D002446,Celiac Disease
2316,Celiac Disease,Porphyromonas,Decreased,MESH:D002446,Celiac Disease
2317,Celiac Disease,Porphyromonas,Decreased,MESH:D002446,Celiac Disease
2318,Celiac Disease,Prevotella oralis,Increased,MESH:D002446,Celiac Disease
2319,Celiac Disease,Prevotella pallens,Increased,MESH:D002446,Celiac Disease
2320,Celiac Disease,Prevotella salivae,Decreased,MESH:D002446,Celiac Disease
2321,Celiac Disease,Prevotella scopos,Increased,MESH:D002446,Celiac Disease
2322,Celiac Disease,Prevotella shahii,Decreased,MESH:D002446,Celiac Disease
2323,Celiac Disease,Prevotella sp. oral taxon 309,Decreased,MESH:D002446,Celiac Disease
2324,Celiac Disease,Prevotella sp. oral taxon 472,Decreased,MESH:D002446,Celiac Disease
2325,Celiac Disease,Prevotella sp. oral taxon 473,Decreased,MESH:D002446,Celiac Disease
2326,Celiac Disease,Simonsiella muelleri,Decreased,MESH:D002446,Celiac Disease
2327,Celiac Disease,Simonsiella muelleri,Decreased,MESH:D002446,Celiac Disease
2328,Celiac Disease,SR1 bacterium oral taxon 875,Decreased,MESH:D002446,Celiac Disease
2329,Celiac Disease,Streptococcus intermedius,Increased,MESH:D002446,Celiac Disease
2330,Celiac Disease,TM7 phylum sp. oral taxon 348,Decreased,MESH:D002446,Celiac Disease
2331,Celiac Disease,TM7 phylum sp. oral taxon 352,Increased,MESH:D002446,Celiac Disease
2332,Celiac Disease,Treponema,Decreased,MESH:D002446,Celiac Disease
2333,Celiac Disease,Treponema,Decreased,MESH:D002446,Celiac Disease
2334,Celiac Disease,Treponema putidum,Decreased,MESH:D002446,Celiac Disease
2335,Celiac Disease,Veillonella parvula,Increased,MESH:D002446,Celiac Disease
2336,Breast Neoplasms,Bacteroidetes,Decreased,MESH:D001943,Breast neoplasms
2337,Breast Neoplasms,Blautia coccoides,Decreased,MESH:D001943,Breast neoplasms
2338,Breast Neoplasms,Blautia sp.,Decreased,MESH:D001943,Breast neoplasms
2339,Breast Neoplasms,Blautia sp.,Increased,MESH:D001943,Breast neoplasms
2340,Breast Neoplasms,[Clostridium] leptum,Decreased,MESH:D001943,Breast neoplasms
2341,Breast Neoplasms,Eggerthella lenta,Increased,MESH:D001943,Breast neoplasms
2342,Breast Neoplasms,Faecalibacterium prausnitzii,Increased,MESH:D001943,Breast neoplasms
2343,Breast Neoplasms,Faecalibacterium prausnitzii,Decreased,MESH:D001943,Breast neoplasms
2344,Breast Neoplasms,Firmicutes,Increased,MESH:D001943,Breast neoplasms
2345,Hypertension,Acidiphilium,Increased,MESH:D006973,Hypertension
2346,Hypertension,Anaerotruncus,Decreased,MESH:D006973,Hypertension
2347,Hypertension,Butyricicoccus,Decreased,MESH:D006973,Hypertension
2348,Hypertension,Butyrivibrio,Decreased,MESH:D006973,Hypertension
2349,Hypertension,Clostridium,Decreased,MESH:D006973,Hypertension
2350,Hypertension,Faecalibacterium,Increased,MESH:D006973,Hypertension
2351,Hypertension,Holdemania,Decreased,MESH:D006973,Hypertension
2352,Hypertension,Intestinimonas,Decreased,MESH:D006973,Hypertension
2353,Hypertension,Marvinbryantia,Decreased,MESH:D006973,Hypertension
2354,Hypertension,Oribacterium,Decreased,MESH:D006973,Hypertension
2355,Hypertension,Oscillibacter,Decreased,MESH:D006973,Hypertension
2356,Hypertension,Paenibacillus,Decreased,MESH:D006973,Hypertension
2357,Hypertension,Pseudoflavonifractor,Decreased,MESH:D006973,Hypertension
2358,Hypertension,Pyramidobacter,Decreased,MESH:D006973,Hypertension
2359,Hypertension,Robinsoniella,Decreased,MESH:D006973,Hypertension
2360,Hypertension,Roseburia,Decreased,MESH:D006973,Hypertension
2361,Hypertension,Ruminiclostridium,Decreased,MESH:D006973,Hypertension
2362,Hypertension,Subdoligranulum,Decreased,MESH:D006973,Hypertension
2363,Hypertension,Treponema,Decreased,MESH:D006973,Hypertension
2364,Head and Neck Neoplasms,Actinobacteria,Decreased,MESH:D006258,Head and Neck neoplasms
2365,Head and Neck Neoplasms,Actinobacteria,Decreased,MESH:D006258,Head and Neck neoplasms
2366,Head and Neck Neoplasms,Actinomyces,Decreased,MESH:D006258,Head and Neck neoplasms
2367,Head and Neck Neoplasms,Actinomycetaceae,Decreased,MESH:D006258,Head and Neck neoplasms
2368,Head and Neck Neoplasms,Actinomycetales,Decreased,MESH:D006258,Head and Neck neoplasms
2369,Head and Neck Neoplasms,Parvimonas,Increased,MESH:D006258,Head and Neck neoplasms
2370,Head and Neck Neoplasms,Parvimonas,Increased,MESH:D006258,Head and Neck neoplasms
2371,Head and Neck Neoplasms,Tissierellaceae,Increased,MESH:D006258,Head and Neck neoplasms
2372,Ulcerative Colitis,Bifidobacterium adolescentis,Decreased,MESH:D003093,Ulcerative Colitis
2373,Ulcerative Colitis,Butyricimonas,Increased,MESH:D003093,Ulcerative Colitis
2374,Ulcerative Colitis,Clostridiaceae,Decreased,MESH:D003093,Ulcerative Colitis
2375,Ulcerative Colitis,Collinsella,Increased,MESH:D003093,Ulcerative Colitis
2376,Crohn Disease,Enterococcus faecalis,Increased,MESH:D003424,Crohn Disease
2377,Ulcerative Colitis,Prevotella,Increased,MESH:D003093,Ulcerative Colitis
2378,Ulcerative Colitis,Streptococcus,Increased,MESH:D003093,Ulcerative Colitis
2379,Ulcerative Colitis,Sutterella,Decreased,MESH:D003093,Ulcerative Colitis
2380,Ulcerative Colitis,Veillonellaceae,Increased,MESH:D003093,Ulcerative Colitis
2381,Parkinson Disease,Akkermansia,Increased,MESH:D010300,Parkinson Disease
2382,Parkinson Disease,Bifidobacteriaceae,Increased,MESH:D010300,Parkinson Disease
2383,Parkinson Disease,Bifidobacterium,Increased,MESH:D010300,Parkinson Disease
2384,Parkinson Disease,Blautia,Decreased,MESH:D010300,Parkinson Disease
2385,Parkinson Disease,Christensenellaceae,Increased,MESH:D010300,Parkinson Disease
2386,Parkinson Disease,Faecalibacterium,Decreased,MESH:D010300,Parkinson Disease
2387,Parkinson Disease,Lachnospiraceae,Decreased,MESH:D010300,Parkinson Disease
2388,Parkinson Disease,Lactobacillaceae,Increased,MESH:D010300,Parkinson Disease
2389,Parkinson Disease,Lactobacillus,Increased,MESH:D010300,Parkinson Disease
2390,Parkinson Disease,Pasteurellaceae,Decreased,MESH:D010300,Parkinson Disease
2391,Parkinson Disease,Roseburia,Decreased,MESH:D010300,Parkinson Disease
2392,Parkinson Disease,Tissierellaceae,Increased,MESH:D010300,Parkinson Disease
2393,Parkinson Disease,Verrucomicrobiaceae,Increased,MESH:D010300,Parkinson Disease
2394,Crohn Disease,Akkermansia,Decreased,MESH:D003424,Crohn Disease
2395,Parkinson Disease,Gemella,Decreased,MESH:D010300,Parkinson Disease
2396,Crohn Disease,Anaerococcus,Increased,MESH:D003424,Crohn Disease
2397,Crohn Disease,Anaerostipes,Increased,MESH:D003424,Crohn Disease
2398,Crohn Disease,Bacteroides,Decreased,MESH:D003424,Crohn Disease
2399,Crohn Disease,Blautia,Increased,MESH:D003424,Crohn Disease
2400,Crohn Disease,Coprococcus,Decreased,MESH:D003424,Crohn Disease
2401,Crohn Disease,Dialister,Decreased,MESH:D003424,Crohn Disease
2402,Crohn Disease,Dorea,Increased,MESH:D003424,Crohn Disease
2403,Crohn Disease,Enterobacteriaceae,Increased,MESH:D003424,Crohn Disease
2404,Crohn Disease,Enterococcus,Increased,MESH:D003424,Crohn Disease
2405,Crohn Disease,Granulicatella,Increased,MESH:D003424,Crohn Disease
2406,Crohn Disease,Lachnospiraceae,Decreased,MESH:D003424,Crohn Disease
2407,Crohn Disease,Methanobrevibacter,Decreased,MESH:D003424,Crohn Disease
2408,Crohn Disease,Parabacteroides,Decreased,MESH:D003424,Crohn Disease
2409,Crohn Disease,Pasteurellaceae,Increased,MESH:D003424,Crohn Disease
2410,Crohn Disease,Peptostreptococcus,Increased,MESH:D003424,Crohn Disease
2411,Crohn Disease,Phascolarctobacterium,Decreased,MESH:D003424,Crohn Disease
2412,Crohn Disease,Ruminococcaceae,Decreased,MESH:D003424,Crohn Disease
2413,Crohn Disease,Slackia,Decreased,MESH:D003424,Crohn Disease
2414,Crohn Disease,Sporobacter,Decreased,MESH:D003424,Crohn Disease
2415,Crohn Disease,Veillonella,Increased,MESH:D003424,Crohn Disease
2416,Parkinson Disease,Carnobacteriaceae,Decreased,MESH:D010300,Parkinson Disease
2417,Parkinson Disease,Coriobacteriaceae,Increased,MESH:D010300,Parkinson Disease
2418,Parkinson Disease,Corynebacteriaceae,Decreased,MESH:D010300,Parkinson Disease
2419,Parkinson Disease,Erysipelotrichaceae,Increased,MESH:D010300,Parkinson Disease
2420,Parkinson Disease,Granulicatella,Increased,MESH:D010300,Parkinson Disease
2421,Parkinson Disease,Haemophilus,Decreased,MESH:D010300,Parkinson Disease
2422,Parkinson Disease,Kingella,Decreased,MESH:D010300,Parkinson Disease
2423,Parkinson Disease,Lactobacillaceae,Increased,MESH:D010300,Parkinson Disease
2424,Parkinson Disease,Leptotrichiaceae,Decreased,MESH:D010300,Parkinson Disease
2425,Parkinson Disease,Micrococcaceae,Decreased,MESH:D010300,Parkinson Disease
2426,Parkinson Disease,Moryella,Increased,MESH:D010300,Parkinson Disease
2427,Parkinson Disease,Neisseria,Decreased,MESH:D010300,Parkinson Disease
2428,Parkinson Disease,Neisseriaceae,Decreased,MESH:D010300,Parkinson Disease
2429,Parkinson Disease,Pasteurellaceae,Decreased,MESH:D010300,Parkinson Disease
2430,Parkinson Disease,Prevotella,Increased,MESH:D010300,Parkinson Disease
2431,Parkinson Disease,Prevotellaceae,Increased,MESH:D010300,Parkinson Disease
2432,Parkinson Disease,Rothia,Decreased,MESH:D010300,Parkinson Disease
2433,Parkinson Disease,Solobacterium,Increased,MESH:D010300,Parkinson Disease
2434,Parkinson Disease,Veillonella,Increased,MESH:D010300,Parkinson Disease
2435,Parkinson Disease,Veillonellaceae,Increased,MESH:D010300,Parkinson Disease
2436,Celiac Disease,Peptostreptococcaceae,Decreased,MESH:D002446,Celiac Disease
2437,Celiac Disease,Peptostreptococcus,Decreased,MESH:D002446,Celiac Disease
2438,Celiac Disease,Prevotella,Decreased,MESH:D002446,Celiac Disease
2439,Celiac Disease,Prevotellaceae,Decreased,MESH:D002446,Celiac Disease
2440,Celiac Disease,Proteobacteria,Increased,MESH:D002446,Celiac Disease
2441,Gastroenteritis,Atopobium,Increased,MESH:D005759,Gastroenteritis
2442,Gastroenteritis,Campylobacteraceae,Present,MESH:D005759,Gastroenteritis
2443,Gastroenteritis,Carnobacteriaceae,Increased,MESH:D005759,Gastroenteritis
2444,Gastroenteritis,Coriobacteriaceae,Increased,MESH:D005759,Gastroenteritis
2445,Gastroenteritis,Desulfovibrionaceae,Absent,MESH:D005759,Gastroenteritis
2446,Gastroenteritis,Enterobacteriaceae,Increased,MESH:D005759,Gastroenteritis
2447,Gastroenteritis,Haemophilus,Absent,MESH:D005759,Gastroenteritis
2448,Gastroenteritis,Methylobacteriaceae,Present,MESH:D005759,Gastroenteritis
2449,Gastroenteritis,Micrococcaceae,Decreased,MESH:D005759,Gastroenteritis
2450,Gastroenteritis,Neisseriaceae,Increased,MESH:D005759,Gastroenteritis
2451,Gastroenteritis,Pasteurellaceae,Increased,MESH:D005759,Gastroenteritis
2452,Gastroenteritis,Prevotella,Increased,MESH:D005759,Gastroenteritis
